ACC,ARI,NMI,task_name,method,known_cls_ratio,labeled_ratio,fraction,seed,pred_num
29.82,15.03,63.23,clinc,wopre_align,0.75,0.1,1.0,7,150
29.47,14.63,62.76,clinc,wopre_align,0.75,0.1,1.0,8,150
77.5,59.52,75.41,stackoverflow,pre_init,0.75,0.1,1.0,0,20
13.9,4.49,35.35,banking,wopre_init,0.75,0.1,1.0,5,77
62.66,51.96,78.93,banking,DeepAligned,0.75,0.1,2.0,0,71
57.31,46.89,75.59,banking,DeepAligned,0.5,0.1,2.0,0,68
47.66,36.72,69.81,banking,DeepAligned,0.25,0.1,2.0,1,63
66.3,51.07,70.56,stackoverflow,DeepAligned,0.75,0.1,2.0,0,15
25.3,11.01,26.86,stackoverflow,wopre_align,0.75,0.1,1.0,0,20
52.0,37.48,55.57,stackoverflow,DeepAligned,0.25,0.1,1.0,0,20
79.6,57.24,74.97,stackoverflow,pre_init,0.75,0.1,1.0,1,20
35.3,16.39,41.65,stackoverflow,wopre_init,0.75,0.1,1.0,0,20
54.32,45.04,75.11,banking,DeepAligned,0.5,0.1,2.0,1,59
62.92,52.22,79.42,banking,DeepAligned,0.75,0.1,2.0,3,67
14.12,4.91,35.54,banking,wopre_init,0.75,0.1,1.0,6,77
81.6,61.83,76.34,stackoverflow,pre_init,0.75,0.1,1.0,2,20
47.95,36.8,69.76,banking,DeepAligned,0.25,0.1,2.0,2,72
74.49,70.72,92.08,clinc,DeepAligned,0.75,0.1,2.0,0,124
72.6,56.73,72.96,stackoverflow,DeepAligned,0.75,0.1,3.0,0,17
74.6,60.79,76.39,stackoverflow,pre_init,0.75,0.1,1.0,3,20
24.2,8.6,24.44,stackoverflow,wopre_align,0.75,0.1,1.0,1,20
74.1,56.8,69.92,stackoverflow,DeepAligned,0.5,0.1,1.0,0,20
59.32,50.68,78.53,banking,DeepAligned,0.75,0.1,2.0,4,60
54.03,43.18,74.17,banking,DeepAligned,0.5,0.1,2.0,2,68
16.49,6.31,38.82,banking,wopre_init,0.75,0.1,1.0,7,77
23.9,12.84,31.38,stackoverflow,wopre_init,0.75,0.1,1.0,1,20
47.05,36.57,69.31,banking,DeepAligned,0.25,0.1,2.0,3,64
28.58,13.62,62.2,clinc,wopre_align,0.75,0.1,1.0,9,150
73.8,59.59,76.56,stackoverflow,pre_init,0.75,0.1,1.0,4,20
46.46,34.11,68.26,banking,DeepAligned,0.25,0.1,2.0,4,62
57.31,46.89,75.59,banking,DeepAligned,0.5,0.1,2.0,0,68
78.4,67.87,78.04,stackoverflow,DeepAligned,0.75,0.1,4.0,0,24
13.7,4.32,34.38,banking,wopre_init,0.75,0.1,1.0,8,77
24.1,9.88,27.74,stackoverflow,wopre_align,0.75,0.1,1.0,2,20
54.58,43.37,74.55,banking,DeepAligned,0.5,0.1,2.0,3,62
26.8,16.05,36.85,stackoverflow,wopre_init,0.75,0.1,1.0,2,20
48.4,30.58,49.1,stackoverflow,DeepAligned,0.25,0.1,1.0,1,20
77.2,59.96,75.67,stackoverflow,pre_init,0.75,0.1,1.0,5,20
13.51,3.85,33.67,banking,wopre_init,0.75,0.1,1.0,9,77
62.66,51.96,78.93,banking,DeepAligned,0.75,0.1,2.0,0,71
53.86,42.99,74.01,banking,DeepAligned,0.5,0.1,2.0,4,60
76.76,71.63,92.35,clinc,DeepAligned,0.75,0.1,2.0,3,126
62.92,52.22,79.42,banking,DeepAligned,0.75,0.1,2.0,3,67
19.9,5.82,21.33,stackoverflow,wopre_align,0.75,0.1,1.0,3,20
67.4,51.84,70.34,stackoverflow,DeepAligned,0.75,0.1,2.0,1,16
20.8,8.2,28.84,stackoverflow,wopre_init,0.75,0.1,1.0,3,20
72.0,55.34,68.54,stackoverflow,DeepAligned,0.5,0.1,1.0,1,20
59.32,50.68,78.53,banking,DeepAligned,0.75,0.1,2.0,4,60
74.9,57.43,72.81,stackoverflow,DeepAligned,0.75,0.1,3.0,1,18
40.06,31.37,68.0,banking,pre_init,0.75,0.1,1.0,0,77
59.9,42.29,58.84,stackoverflow,DeepAligned,0.25,0.1,1.0,2,20
23.2,11.78,29.18,stackoverflow,wopre_init,0.75,0.1,1.0,4,20
21.0,6.66,22.39,stackoverflow,wopre_align,0.75,0.1,1.0,4,20
57.31,46.89,75.59,banking,DeepAligned,0.5,0.1,2.0,0,68
77.07,72.13,92.38,clinc,DeepAligned,0.75,0.1,2.0,4,129
42.53,32.87,69.12,banking,pre_init,0.75,0.1,1.0,1,77
76.6,61.37,73.53,stackoverflow,k-means,0.75,0.1,1.0,0,20
76.5,60.61,71.7,stackoverflow,k-means,0.75,0.1,1.0,1,20
71.3,54.02,67.7,stackoverflow,k-means,0.75,0.1,1.0,2,20
77.9,63.15,74.15,stackoverflow,k-means,0.75,0.1,1.0,3,20
79.3,61.68,71.59,stackoverflow,k-means,0.75,0.1,1.0,4,20
76.9,59.86,71.73,stackoverflow,k-means,0.75,0.1,1.0,5,20
74.1,57.79,69.76,stackoverflow,k-means,0.75,0.1,1.0,6,20
72.9,57.4,68.34,stackoverflow,k-means,0.75,0.1,1.0,7,20
78.6,62.23,72.74,stackoverflow,k-means,0.75,0.1,1.0,8,20
73.8,55.36,67.28,stackoverflow,k-means,0.75,0.1,1.0,9,20
21.4,7.26,22.57,stackoverflow,wopre_align,0.75,0.1,1.0,5,20
74.9,56.46,75.02,stackoverflow,pre_init,0.75,0.1,1.0,0,20
14.84,5.21,35.92,banking,wopre_init,0.75,0.1,1.0,0,77
77.2,57.02,76.19,stackoverflow,pre_init,0.75,0.1,1.0,1,20
28.2,13.72,30.96,stackoverflow,wopre_align,0.75,0.1,1.0,6,20
67.96,60.63,88.0,clinc,DeepAligned,0.25,0.1,2.0,1,123
77.5,47.05,75.66,stackoverflow,pre_init,0.75,0.1,1.0,2,20
23.07,9.9,57.72,clinc,wopre_init,0.75,0.1,1.0,0,150
12.95,3.81,33.47,banking,wopre_init,0.75,0.1,1.0,1,77
78.2,49.69,77.59,stackoverflow,pre_init,0.75,0.1,1.0,3,20
51.24,40.57,80.65,clinc,pre_init,0.75,0.1,1.0,0,150
25.0,10.79,26.64,stackoverflow,wopre_align,0.75,0.1,1.0,7,20
12.69,3.79,32.47,banking,wopre_init,0.75,0.1,1.0,2,77
76.7,58.93,75.11,stackoverflow,pre_init,0.75,0.1,1.0,4,20
74.76,67.54,90.61,clinc,DeepAligned,0.5,0.1,2.0,1,132
14.87,5.85,36.9,banking,wopre_init,0.75,0.1,1.0,3,77
75.5,54.66,73.21,stackoverflow,pre_init,0.75,0.1,1.0,5,20
21.3,7.17,22.45,stackoverflow,wopre_align,0.75,0.1,1.0,8,20
22.44,9.28,57.25,clinc,wopre_init,0.75,0.1,1.0,1,150
14.19,5.02,35.55,banking,wopre_init,0.75,0.1,1.0,4,77
76.4,53.22,75.67,stackoverflow,pre_init,0.75,0.1,1.0,6,20
56.84,47.88,84.11,clinc,pre_init,0.75,0.1,1.0,1,150
72.9,48.89,72.31,stackoverflow,pre_init,0.75,0.1,1.0,7,20
12.6,3.89,32.66,banking,wopre_init,0.75,0.1,1.0,5,77
22.1,9.02,25.59,stackoverflow,wopre_align,0.75,0.1,1.0,9,20
66.4,59.6,87.65,clinc,DeepAligned,0.25,0.1,2.0,2,123
13.7,4.45,34.1,banking,wopre_init,0.75,0.1,1.0,6,77
72.5,55.84,73.95,stackoverflow,pre_init,0.75,0.1,1.0,8,20
23.16,9.63,58.07,clinc,wopre_init,0.75,0.1,1.0,2,150
76.2,55.26,73.48,stackoverflow,pre_init,0.75,0.1,1.0,9,20
14.03,4.67,34.83,banking,wopre_init,0.75,0.1,1.0,7,77
71.82,65.36,90.09,clinc,DeepAligned,0.5,0.1,2.0,2,128
13.86,4.39,34.17,banking,wopre_init,0.75,0.1,1.0,8,77
56.84,46.56,83.16,clinc,pre_init,0.75,0.1,1.0,2,150
24.53,10.63,59.1,clinc,wopre_init,0.75,0.1,1.0,3,150
13.96,4.55,34.54,banking,wopre_init,0.75,0.1,1.0,9,77
64.49,55.9,86.06,clinc,DeepAligned,0.25,0.1,2.0,3,122
57.78,47.98,83.59,clinc,pre_init,0.75,0.1,1.0,3,150
22.67,8.9,57.01,clinc,wopre_init,0.75,0.1,1.0,4,150
75.02,67.93,90.85,clinc,DeepAligned,0.5,0.1,2.0,3,130
57.87,46.95,83.32,clinc,pre_init,0.75,0.1,1.0,4,150
22.76,9.54,57.68,clinc,wopre_init,0.75,0.1,1.0,5,150
62.18,54.93,85.77,clinc,DeepAligned,0.25,0.1,2.0,4,112
23.38,10.22,58.65,clinc,wopre_init,0.75,0.1,1.0,6,150
67.95,55.14,78.88,banking,pre_init_,0.75,0.1,1.0,0,77
10.6,0.23,8.1,stackoverflow,pre_init_,0.75,0.1,1.0,0,20
67.2,60.58,88.36,clinc,DeepAligned,0.5,0.1,2.0,4,114
8.8,1.08,25.91,banking,wopre_init,0.75,0.1,1.0,0,77
